Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 13 (256GB) - Midnight,4.5,556,1K+ bought in past month,54999,₹69600,(21% off),1,Apple,iPhone 13,256GB,Midnight,1000,69600,21.0,4 or 6 GB
Apple iPhone 15 (256 GB) - Yellow,4.8,18,M.R.P:,75900,₹89900,(16% off),1,Apple,iPhone 15,256GB,Yellow,0,89900,16.0,6 GB
Apple iPhone 16 (256 GB) - Black,4.5,79,100+ bought in past month,89900,,,1,Apple,iPhone 16,256GB,Black,100,89900,0.0,8 GB
Apple iPhone 15 (256 GB) - Blue,4.4,176,200+ bought in past month,75900,₹89600,(15% off),1,Apple,iPhone 15,256GB,Blue,200,89600,15.0,6 GB
Apple iPhone 16 (256 GB) - Ultramarine,4.5,79,100+ bought in past month,89900,,,1,Apple,iPhone 16,256GB,Ultramarine,100,89900,0.0,8 GB
Apple iPhone 15 Plus (128 GB) - Pink,4.6,97,100+ bought in past month,69900,₹89600,(22% off),1,Apple,iPhone 15 Plus,128GB,Pink,100,89600,22.0,6 GB
Apple iPhone 15 (256 GB) - Black,4.5,218,200+ bought in past month,77490,₹89600,(14% off),1,Apple,iPhone 15,256GB,Black,200,89600,14.0,6 GB
Apple iPhone 16 (256 GB) - Teal,4.5,79,50+ bought in past month,89900,,,1,Apple,iPhone 16,256GB,Teal,50,89900,0.0,8 GB
Apple iPhone 16 Plus (128 GB) - Ultramarine,4.1,53,100+ bought in past month,86900,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,Ultramarine,100,89900,3.0,8 GB
Apple iPhone 13 (256 GB) - Green,4.5,318,400+ bought in past month,54999,₹69600,(21% off),1,Apple,iPhone 13,256GB,Green,400,69600,21.0,4 or 6 GB
Apple iPhone 14 (128 GB) - Midnight,4.6,"1,331",100+ bought in past month,54900,₹69600,(21% off),1,Apple,iPhone 14,128GB,Midnight,100,69600,21.0,6 GB
Apple iPhone 15 (512 GB) - Yellow,5.0,1,M.R.P:,94900,₹109900,(14% off),1,Apple,iPhone 15,512GB,Yellow,0,109900,14.0,6 GB
Apple iPhone 15 (128 GB) - Pink,4.4,213,100+ bought in past month,65900,₹79600,(17% off),1,Apple,iPhone 15,128GB,Pink,100,79600,17.0,6 GB
Apple iPhone 16 Plus (128 GB) - Teal,4.1,53,100+ bought in past month,86900,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,Teal,100,89900,3.0,8 GB
Apple iPhone 16 Plus (128 GB) - White,4.1,53,100+ bought in past month,86900,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,White,100,89900,3.0,8 GB
