Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Redmi Note 13 Pro (Midnight Black, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",100+ bought in past month,24999,₹30999,(19% off),Yes,Redmi,Redmi Note 13 Pro ,Black,8GB,256GB,100,30999,19.0
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) Without Offer",3.8,863,100+ bought in past month,24102,₹33999,(29% off),Yes,Redmi,Redmi Note 13 Pro+ ,White,8GB,256GB,100,33999,29.0
"Xiaomi 14 CIVI (Shadow Black, 12GB RAM, 512GB Storage)",2.8,5,0,42399,₹59999,(29% off),Yes,Xiaomi,Xiaomi 14 CIVI ,Black,12GB,512GB,0,59999,29.0
"Xiaomi Mi A3 (More Than White, 4GB RAM, 64GB Storage)",4.1,"15,056",0,9999,₹17499,(43% off),Yes,Xiaomi,Xiaomi Mi A3 ,White,4GB,64GB,0,17499,43.0
"Redmi Note 13 5G (Chromatic Purple, 8GB RAM, 256GB Storage)",3.7,"5,707",1K+ bought in past month,15860,₹22999,(31% off),Yes,Redmi,Redmi Note 13 5G ,Red,8GB,256GB,1000,22999,31.0
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) Without Offer",3.9,"1,401",500+ bought in past month,18100,₹28999,(38% off),Yes,Redmi,Redmi Note 13 Pro ,White,8GB,128GB,500,28999,38.0
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,500+ bought in past month,27999,₹33999,(18% off),Yes,Redmi,Redmi Note 13 Pro+ ,Red,8GB,256GB,500,33999,18.0
"Redmi Note 13 5G (Stealth Black, 8GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",400+ bought in past month,17999,₹22999,(22% off),Yes,Redmi,Redmi Note 13 5G ,Black,8GB,256GB,400,22999,22.0
"Xiaomi 14 CIVI (Cruise Blue, 8GB RAM, 256GB Storage)",3.4,8,0,40999,₹54999,(25% off),Yes,Xiaomi,Xiaomi 14 CIVI ,Blue,8GB,256GB,0,54999,25.0
"Xiaomi 12 Pro | 5G (Noir Black, 12GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon",3.9,"4,000",0,42999,₹84999,(49% off),Yes,Xiaomi,Xiaomi 12 Pro | 5G ,Black,12GB,256GB,0,84999,49.0
